APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 724
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 373
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41806, Query: N/A, Response: N/A, Answer: N/A, Length: 1280
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41806, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41806, Query: N/A, Response: N/A, Answer: N/A, Length: 126
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59678, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 593
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59678, Query: N/A, Response: N/A, Answer: N/A, Length: 387
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 1368
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 944
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59281, Destination IP: 120.220.192.230, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1378
