APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.160, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 52066, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42052, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36934, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 38366, Destination IP: 120.220.192.230, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 674
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.192.230, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 38366, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36934, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 42756, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42756, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 34370, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34370, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 44344, Destination IP: 120.221.185.240, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.185.240, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 44344, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36954, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 57138, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 646
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36954, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.79.181, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 57138, Query: N/A, Response: N/A, Answer: N/A, Length: 278
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36954, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 133
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36954, Query: N/A, Response: N/A, Answer: N/A, Length: 314
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36182, Destination IP: 120.221.252.82, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 228
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.252.82, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36182, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36182, Destination IP: 120.221.252.82, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 133
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.252.82, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36182, Query: N/A, Response: N/A, Answer: N/A, Length: 282
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 51022, Destination IP: 120.222.219.198, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 645
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.219.198, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 51022, Query: N/A, Response: N/A, Answer: N/A, Length: 278
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 45418, Destination IP: 120.222.128.228, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 649
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.128.228, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 45418, Query: N/A, Response: N/A, Answer: N/A, Length: 278
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 40008, Destination IP: 120.221.61.236, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.61.236, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 40008, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 40008, Destination IP: 120.221.61.236, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 125
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.61.236, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 40008, Query: N/A, Response: N/A, Answer: N/A, Length: 383
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 55242, Destination IP: 120.222.152.252, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.222.152.252, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 55242, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 60168, Destination IP: 39.136.248.210, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 39.136.248.210, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60168, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 57968, Destination IP: 219.154.245.197, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 219.154.245.197, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 57968, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 49578, Destination IP: 219.154.245.200, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 219.154.245.200, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 49578, Query: N/A, Response: N/A, Answer: N/A, Length: 1434
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 43958, Destination IP: 59.82.40.77, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 46450, Destination IP: 39.136.247.205, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
