APP Name,Protocol,Source IP,Source Port,Destination IP,Destination Port,Query,Response,TTL,Answer
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,53322,223.109.148.179,443,N/A,N/A,N/A,N/A
A8体育,Unknown,223.109.148.179,443,10.215.173.1,53322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,49522,36.143.252.112,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,43342,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,43342,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,6313,10.215.173.2,53,sdk.beizi.biz.,N/A,N/A,N/A
A8体育,Unknown,10.215.173.2,53,10.215.173.1,6313,N/A,sdk.beizi.biz.,208,59.110.4.153
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
